;updated;high;low;open;close;volume;average
992;1600894800;10792.17;10213.75;10238.09;10742.98;29020.54;10502.96
993;1600808400;10546.48;10166.62;10534.73;10238.09;26680.48;10356.55
994;1600722000;10576.92;10365.99;10418.14;10534.73;28764.85;10471.455
995;1600635600;10992.25;10319.73;10921.85;10418.14;44906.88;10655.99
996;1600549200;11083.9;10775.23;11083.61;10921.85;21791.13;10929.565
997;1600462800;11173.88;10898.63;10937.89;11083.61;17491.35;11036.255
998;1600376400;11040.66;10823.93;10945.14;10937.89;22774.38;10932.295
999;1600290000;11047.25;10755.99;10957.1;10945.14;26980.75;10901.62
1000;1600203600;11094.7;10670.02;10786.7;10957.1;34093.35;10882.36
1001;1600117200;10936.89;10632.26;10678.31;10786.7;34224.45;10784.575
1002;1600030800;10753.33;10259.62;10332.36;10678.31;34032.31;10506.475
1003;1599944400;10578.97;10224.4;10448.0;10332.36;28905.77;10401.685
1004;1599858000;10486.76;10282.43;10398.5;10448.0;17704.47;10384.595
1005;1599771600;10412.6;10215.49;10345.68;10398.5;25800.65;10314.045
1006;1599685200;10493.32;10221.37;10228.85;10345.68;43679.85;10357.345
1007;1599598800;10349.09;9989.63;10128.54;10228.85;33984.18;10169.36
1008;1599512400;10443.72;9855.68;10379.08;10128.54;54770.65;10149.7
1009;1599426000;10411.92;9893.68;10260.37;10379.08;41648.61;10152.8
1010;1599339600;10361.12;10019.56;10167.97;10260.37;29450.0;10190.34
1011;1599253200;10570.95;9880.05;10467.33;10167.97;60292.64;10225.5
1012;1599166800;10638.71;10020.02;10174.62;10467.33;54204.6;10329.365
1013;1599080400;11469.2;10017.43;11397.9;10174.62;82662.97;10743.315
1014;1598994000;11954.28;11219.19;11926.69;11397.9;53717.87;11586.735
1015;1598907600;12062.06;11540.42;11657.81;11926.69;45202.86;11801.24
1016;1598821200;11775.27;11586.36;11716.54;11657.81;26331.03;11680.815
1017;1598734800;11718.98;11470.07;11480.48;11716.54;16398.78;11594.525
1018;1598648400;11585.98;11433.8;11535.21;11480.48;16305.87;11509.89
1019;1598562000;11553.81;11289.07;11331.02;11535.21;30815.36;11421.44
1020;1598475600;11591.64;11135.52;11466.89;11331.02;40978.91;11363.58
1021;1598389200;11542.65;11259.23;11330.56;11466.89;27168.29;11400.94
1022;1598302800;11767.64;11130.36;11756.4;11330.56;50836.08;11449.0
1023;1598216400;11827.45;11594.64;11651.52;11756.4;39119.97;11711.045
1024;1598130000;11713.62;11521.6;11670.42;11651.52;33405.25;11617.61
1025;1598043600;11686.02;11379.06;11527.35;11670.42;49538.11;11532.54
1026;1597957200;11882.67;11494.52;11863.43;11527.35;63548.27;11688.595
1027;1597870800;11888.72;11679.03;11760.37;11863.43;43209.58;11783.875
1028;1597784400;12021.8;11592.2;11956.69;11760.37;50094.06;11807.0
1029;1597698000;12397.4;11855.24;12301.19;11956.69;49904.68;12126.32
1030;1597611600;12474.73;11775.66;11917.97;12301.19;56064.01;12125.195
1031;1597525200;11934.96;11701.22;11860.91;11917.97;22029.01;11818.09
1032;1597438800;11981.62;11697.88;11774.52;11860.91;31094.75;11839.75
1033;1597352400;11863.43;11657.2;11790.68;11774.52;37248.83;11760.315
1034;1597266000;11795.34;11284.57;11570.19;11790.68;42205.26;11539.955
1035;1597179600;11621.05;11182.8;11389.01;11570.19;37568.86;11401.925
1036;1597093200;11940.4;11138.6;11897.41;11389.01;62677.5;11539.5
1037;1597006800;12074.31;11640.41;11686.34;11897.41;56105.27;11857.36
1038;1596920400;11802.93;11533.93;11770.77;11686.34;19874.64;11668.43
1039;1596834000;11811.4;11534.87;11603.82;11770.77;23238.62;11673.135
1040;1596747600;11912.62;11350.42;11771.27;11603.82;55865.16;11631.52
1041;1596661200;11909.81;11577.8;11752.05;11771.27;49916.86;11743.805
1042;1596574800;11791.62;11095.47;11194.18;11752.05;48146.58;11443.545
1043;1596488400;11415.16;11021.07;11234.73;11194.18;35052.44;11218.115
1044;1596402000;11476.29;10945.66;11063.5;11234.73;42060.85;11210.975
1045;1596315600;12106.89;10694.22;11812.42;11063.5;63507.01;11400.555
1046;1596229200;11874.77;11240.98;11352.72;11812.42;63746.48;11557.875
1047;1596142800;11454.11;10981.87;11113.66;11352.72;54108.77;11217.990000000002
1048;1596056400;11182.76;10875.14;11112.04;11113.66;45655.22;11028.95
1049;1595970000;11348.53;10854.04;10933.26;11112.04;61949.48;11101.285
1050;1595883600;11253.39;10590.98;11042.94;10933.26;85478.78;10922.185
1051;1595797200;11397.48;9935.51;9942.01;11042.94;128836.3;10666.495
1052;1595710800;10140.55;9659.08;9708.41;9942.01;42161.94;9899.815
1053;1595624400;9744.72;9536.76;9550.23;9708.41;24211.0;9640.74
1054;1595538000;9647.83;9477.19;9615.21;9550.23;33810.92;9562.51
1055;1595451600;9675.5;9458.25;9537.24;9615.21;43462.72;9566.875
1056;1595365200;9551.87;9289.85;9392.83;9537.24;29959.04;9420.86
1057;1595278800;9435.55;9162.25;9164.42;9392.83;34505.35;9298.9
1058;1595192400;9224.76;9136.9;9216.02;9164.42;18729.9;9180.83
1059;1595106000;9238.3;9113.41;9177.22;9216.02;12797.83;9175.855
1060;1595019600;9205.94;9125.92;9156.79;9177.22;11952.82;9165.93
1061;1594933200;9183.08;9080.61;9133.23;9156.79;20542.6;9131.845
1062;1594846800;9216.53;9029.17;9193.22;9133.23;27882.77;9122.85
1063;1594760400;9272.57;9160.89;9256.07;9193.22;23480.12;9216.73
1064;1594674000;9279.57;9109.7;9237.89;9256.07;25865.27;9194.635
1065;1594587600;9336.42;9201.18;9300.95;9237.89;25872.33;9268.8
1066;1594501200;9339.99;9169.13;9237.13;9300.95;16385.5;9254.56
1067;1594414800;9302.22;9188.13;9288.57;9237.13;11785.42;9245.175
1068;1594328400;9317.31;9128.71;9238.95;9288.57;24422.31;9223.009999999998
1069;1594242000;9441.67;9171.37;9439.2;9238.95;30177.18;9306.52
1070;1594155600;9471.65;9236.9;9257.32;9439.2;37422.23;9354.275
1071;1594069200;9378.69;9208.31;9347.05;9257.32;25836.94;9293.5
1072;1593982800;9372.09;9067.64;9081.44;9347.05;36844.23;9219.865
1073;1593896400;9152.87;8935.9;9142.2;9081.44;17548.22;9044.385
1074;1593810000;9195.91;9052.4;9066.46;9142.2;16185.04;9124.155
1075;1593723600;9127.05;9047.38;9092.8;9066.46;21807.46;9087.215
1076;1593637200;9267.84;8954.67;9238.89;9092.8;37657.49;9111.255
1077;1593550800;9299.67;9097.33;9136.47;9238.89;29846.4;9198.5
1078;1593464400;9200.99;9068.77;9187.07;9136.47;23376.63;9134.88
1079;1593378000;9234.33;9026.42;9120.39;9187.07;31119.19;9130.375
1080;1593291600;9189.74;8946.05;9007.14;9120.39;19775.94;9067.895
1081;1593205200;9190.27;8867.34;9158.07;9007.14;28152.32;9028.805
1082;1593118800;9289.32;9041.42;9241.32;9158.07;40519.91;9165.37
1083;1593032400;9335.65;9000.53;9292.94;9241.32;47297.43;9168.09
1084;1592946000;9664.38;9206.05;9624.3;9292.94;49186.2;9435.215
1085;1592859600;9720.11;9580.47;9691.61;9624.3;30724.93;9650.29
1086;1592773200;9774.79;9283.26;9292.81;9691.61;41271.48;9529.025
1087;1592686800;9418.22;9282.53;9359.18;9292.81;13199.69;9350.375
1088;1592600400;9394.04;9179.1;9301.83;9359.18;19608.75;9286.57
1089;1592514000;9419.99;9239.58;9380.67;9301.83;31669.73;9329.785
1090;1592427600;9480.04;9276.18;9459.13;9380.67;25143.4;9378.11
1091;1592341200;9550.06;9243.06;9526.7;9459.13;34516.51;9396.56
1092;1592254800;9585.17;9383.33;9429.65;9526.7;39887.07;9484.25
1093;1592168400;9498.69;8909.5;9333.7;9429.65;66872.84;9204.095
1094;1592082000;9479.56;9251.02;9474.65;9333.7;19334.41;9365.29
1095;1591995600;9492.0;9363.89;9464.23;9474.65;16597.62;9427.945
1096;1591909200;9548.13;9238.24;9268.13;9464.23;40820.42;9393.185
1097;1591822800;9970.77;9093.42;9891.84;9268.13;86717.5;9532.095
1098;1591736400;9990.4;9708.63;9779.7;9891.84;40206.35;9849.515
1099;1591650000;9884.83;9604.13;9782.58;9779.7;38753.41;9744.48
1100;1591563600;9801.19;9658.72;9750.7;9782.58;32766.08;9729.955
1101;1591477200;9806.21;9410.33;9671.46;9750.7;39020.91;9608.27
1102;1591390800;9728.4;9536.15;9622.02;9671.46;22979.04;9632.275
1103;1591304400;9846.54;9611.19;9794.55;9622.02;41806.08;9728.865000000002
1104;1591218000;9877.89;9470.9;9666.06;9794.55;43080.32;9674.395
1105;1591131600;9666.25;9408.56;9523.75;9666.06;33114.73;9537.405
1106;1591045200;10232.25;9344.53;10211.23;9523.75;82606.91;9788.39
1107;1590958800;10359.02;9421.6;9450.47;10211.23;44485.42;9890.31
1108;1590872400;9703.51;9400.25;9699.78;9450.47;22242.38;9551.88
1109;1590786000;9735.73;9340.45;9424.62;9699.78;24640.28;9538.09
1110;1590699600;9601.43;9344.8;9579.71;9424.62;40183.32;9473.115
1111;1590613200;9619.34;9112.3;9204.62;9579.71;56625.62;9365.82
1112;1590526800;9222.3;8820.55;8844.5;9204.62;42022.36;9021.425
1113;1590440400;9011.53;8705.66;8901.48;8844.5;39855.17;8858.595000000001
1114;1590354000;8977.43;8639.46;8718.49;8901.48;43894.32;8808.445
1115;1590267600;9307.11;8707.14;9186.19;8718.49;45736.61;9007.125
1116;1590181200;9311.34;9101.08;9170.74;9186.19;23636.66;9206.21
1117;1590094800;9265.04;8936.82;9059.11;9170.74;44400.9;9100.93
1118;1590008400;9566.81;8811.54;9509.45;9059.11;87116.97;9189.175
1119;1589922000;9832.94;9323.82;9780.2;9509.45;61892.78;9578.38
1120;1589835600;9890.69;9471.96;9722.73;9780.2;60720.68;9681.325
1121;1589749200;9943.74;9476.37;9670.56;9722.73;62325.78;9710.055
1122;1589662800;9885.55;9334.23;9387.08;9670.56;52271.64;9609.89
1123;1589576400;9584.9;9224.32;9311.69;9387.08;37023.76;9404.61
1124;1589490000;9841.71;9149.13;9793.19;9311.69;84280.62;9495.419999999998
1125;1589403600;9937.97;9263.29;9317.44;9793.19;97176.37;9600.63
1126;1589317200;9407.67;8807.57;8821.18;9317.44;68248.72;9107.62
1127;1589230800;8975.74;8541.95;8568.88;8821.18;66073.43;8758.845000000001
1128;1589144400;9164.84;8228.58;8735.05;8568.88;144898.27;8696.71
1129;1589058000;9556.85;8228.22;9541.13;8735.05;133597.2;8892.535
1130;1588971600;9912.22;9525.77;9808.18;9541.13;59814.44;9718.995
1131;1588885200;10041.73;9728.64;9999.93;9808.18;91540.3;9885.185
1132;1588798800;10064.33;9042.52;9153.2;9999.93;125991.41;9553.425
1133;1588712400;9408.99;8924.06;9029.75;9153.2;88912.83;9166.525
1134;1588626000;9119.13;8781.58;8881.65;9029.75;60185.36;8950.355
1135;1588539600;8968.9;8537.49;8907.19;8881.65;64835.52;8753.195
